1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
ieeexplore.ieee.org,202.38.75.53,-,-,[01/Dec/2017:00:00:35,-0500],GET /xpl/tocresult.jsp?isnumber=5594698 HTTP/1.1,200,324935,http://ieeexplore.ieee.org/xpl/mostRecentIssue.jsp?punumber=49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36",FAcONgsm7r7hJMyJtLAXOCL9voWsZv6u*DqnbLDLjCQx2FiVPFxxh12jKQx3Dx3D-18x2dcjFVALY8kqNTPTpUU0DGKQx3Dx3DU36Vvf7qe6bnfyyQ4R0QdQx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,-,-,-,-,KMu2NRihxUV-aLw8rjm,870200,-,-,-,-,-,-,-,7d3a0f108049e348e09a02ec40f56906
ieeexplore.ieee.org,210.45.209.239,-,1374883,[01/Dec/2017:00:00:36,-0500],POST /rest/search/typeahead HTTP/1.1,200,0,http://ieeexplore.ieee.org/search/searchresult.jsp?newsearch=true&queryText=Adaptive%20Fuzzy%20PID%20Control,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 UBrowser/6.1.2716.5 Safari/537.36",V48i6OpdFN8pSn48rXU7RcP0E9sY6X9a*KCcVYapZq2x2BxxadI0kQ2J5gx3Dx3D-18x2d2pBQZKr50f7Xs0XqhOfBNgx3Dx3D5LEbEDYAiIIQkcDbrI2IVwx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,pJOSVYhhGd3-aMwbAi6,213164,-,-,-,-,-,-,-,f186c7be9c2d3ec4b4104e7ff3a8d451
ieeexplore.ieee.org,42.236.50.80,-,-,[01/Dec/2017:00:00:36,-0500],GET /document/5775371/authors HTTP/1.1,200,43708,http://ieeexplore.ieee.org/document/5775371/authors,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36; 360Spider",-,-,-,-,-,-,-,431952,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,182.75.135.138,-,72287,[01/Dec/2017:00:00:36,-0500],GET /rest/document/6373697/references HTTP/1.1,200,11522,http://ieeexplore.ieee.org/document/6373697/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.115 Safari/537.36",WzU2tx2Bz7K1kavgDRUUAHtqRLSrn1sPpx2F*N8TSIkPA2UzNnktMq2FJQwx3Dx3D-18x2ddJ5MGWcbwDUVa0lgrsEC0Qx3Dx3DETzCx2FE7S4x2Flx2FcFkAyRvN4Qx3Dx3D-seCuihlon4Yn6ravae9KzQx3Dx3D-x2BoJmAJK1Z3DbmTWzFvGVAAx3Dx3D,-,-,-,-,-,oXGKdBvk42U-aHIsG8A,293410,-,-,-,-,-,-,-,1208184f9c5d674be67e97907ee5166b
ieeexplore.ieee.org,180.43.32.103,-,22146,[01/Dec/2017:00:00:36,-0500],GET /ielx4/6092/16313/00759717.pdf?tp=&arnumber=759717&isnumber=16313 HTTP/1.1,206,16384,-,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,FAcONgsm7r4pWpx2F0nr8GOSxxEeo2a1PD5*uIMVcDjNq0X1lciQIcAcqwx3Dx3D-18x2dKx2FYSfuoXi1Ya4tn0JGiq6Ax3Dx3DoAEQSrx2BsHUs3dqgdLqXnagx3Dx3D-ICiWWFk1V0sztTx2FaouVejAx3Dx3D-HkZjWsU0yPIC0RD8x2BnFD6Ax3Dx3D,-,-,-,-,-,WbezFZ53d2E-aXEMRv0,690,-,-,-,-,-,-,-,071614c00615515f58772110e8df1f3f
ieeexplore.ieee.org,180.43.32.103,-,22146,[01/Dec/2017:00:00:36,-0500],GET /ielx4/6092/16313/00759717.pdf?tp=&arnumber=759717&isnumber=16313 HTTP/1.1,206,16384,-,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,FAcONgsm7r4pWpx2F0nr8GOSxxEeo2a1PD5*uIMVcDjNq0X1lciQIcAcqwx3Dx3D-18x2dKx2FYSfuoXi1Ya4tn0JGiq6Ax3Dx3DoAEQSrx2BsHUs3dqgdLqXnagx3Dx3D-ICiWWFk1V0sztTx2FaouVejAx3Dx3D-HkZjWsU0yPIC0RD8x2BnFD6Ax3Dx3D,-,-,-,-,-,WbezFZ53d2E-aXEMRv0,420,-,-,-,-,-,-,-,071614c00615515f58772110e8df1f3f
ieeexplore.ieee.org,23.215.102.231,-,-,[01/Dec/2017:00:00:36,-0500],GET /xploreAssets/MathJax-2.6.1/fonts/HTML-CSS/TeX/png/Math/Italic/238/0071.png?rev=2.6.1 HTTP/1.1,200,278,http://ieeexplore.ieee.org/document/7987034/authors,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.91 Safari/537.36 Vivaldi/1.92.917.39",-,-,-,-,-,-,2AKsX4HTACe-amg0AVp,2533,-,-,-,-,-,-,-,-
ieeexplore.ieee.org,218.195.48.87,-,2308131,[01/Dec/2017:00:00:05,-0500],GET /ielx7/34/4359286/08025394.pdf?tp=&arnumber=8025394&isnumber=4359286 HTTP/1.1,206,9060672,http://ieeexplore.ieee.org/ielx7/34/4359286/08025394.pdf?tp=&arnumber=8025394&isnumber=4359286,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36",rR1cUFx2BBIGqoKoalBdy593S2ldIAZovC*CkKtYnk4Qnx2BlvnirGXYzYgx3Dx3D-18x2d7DBSixx9bTzx2Fsoix2BefrHXeAx3Dx3DGx2FFUFnixx4x2BVtZhyqx2B5yTvwx3Dx3D-74WfbdZD876j9q2bPIopZAx3Dx3D-hSx2Fy2PwxxNx2B4GkiZY7zyx2B7gx3Dx3D,-,-,-,-,-,eGZBoBzQ2n2-aPI03YV,31701949,-,-,-,-,-,-,-,8cbc6704c7520bf32eadf60750e804df
ieeexplore.ieee.org,115.78.0.50,-,-,[01/Dec/2017:00:00:36,-0500],GET /rest/document/7983626/similar HTTP/1.1,200,4257,http://ieeexplore.ieee.org/document/7983626/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/603.2.5 (KHTML, like Gecko) Version/10.1.1 Safari/603.2.5",-,-,-,-,-,-,t1uf2WWT8J8-aKTJ9sJ,216039,-,-,-,-,-,-,-,a37ac8b5ed261e040e34116774505a0d
ieeexplore.ieee.org,180.153.236.35,-,-,[01/Dec/2017:00:00:36,-0500],GET /xpl/abstractAuthors.jsp?reload=true&arnumber=5719750&tp&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D5719750 HTTP/1.1,302,299,http://ieeexplore.ieee.org:80/xpl/abstractAuthors.jsp?reload=true&arnumber=5719750&tp&url=http%3A%2F%2Fieeexplore.ieee.org%2Fxpls%2Fabs_all.jsp%3Farnumber%3D5719750,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.2.2661.102 Safari/537.36; 360Spider",-,-,-,-,-,-,-,383073,-,-,-,-,-,-,-,-
